nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
05:19:01 │ INFO     │   380/400 (95%) — 881s elapsed, ~46s remaining
05:19:47 │ INFO     │   400/400 (100%) — 927s elapsed, ~0s remaining
05:19:47 │ INFO     │   ✓ United States Grand Prix: 400 combos in 927s
05:19:47 │ INFO     │   Saved: results/scenarios/scenarios_cota.json
05:19:47 │ INFO     │ ============================================================
05:19:47 │ INFO     │   PRECOMPUTING: Hungarian Grand Prix
05:19:47 │ INFO     │   20 drivers × 20 positions = 400 combos
05:19:47 │ INFO     │ ============================================================
05:20:44 │ INFO     │   20/400 (5%) — 57s elapsed, ~1086s remaining
05:21:42 │ INFO     │   40/400 (10%) — 115s elapsed, ~1034s remaining
05:22:39 │ INFO     │   60/400 (15%) — 172s elapsed, ~976s remaining
05:23:37 │ INFO     │   80/400 (20%) — 230s elapsed, ~919s remaining
05:24:34 │ INFO     │   100/400 (25%) — 287s elapsed, ~860s remaining
05:25:32 │ INFO     │   120/400 (30%) — 345s elapsed, ~805s remaining
05:26:30 │ INFO     │   140/400 (35%) — 403s elapsed, ~749s remaining
05:27:28 │ INFO     │   160/400 (40%) — 461s elapsed, ~691s remaining
05:28:25 │ INFO     │   180/400 (45%) — 518s elapsed, ~633s remaining
05:29:23 │ INFO     │   200/400 (50%) — 576s elapsed, ~576s remaining
05:30:20 │ INFO     │   220/400 (55%) — 633s elapsed, ~518s remaining
05:31:18 │ INFO     │   240/400 (60%) — 691s elapsed, ~461s remaining
05:32:16 │ INFO     │   260/400 (65%) — 749s elapsed, ~403s remaining
05:33:14 │ INFO     │   280/400 (70%) — 807s elapsed, ~346s remaining
05:34:11 │ INFO     │   300/400 (75%) — 865s elapsed, ~288s remaining
05:35:10 │ INFO     │   320/400 (80%) — 924s elapsed, ~231s remaining
05:36:09 │ INFO     │   340/400 (85%) — 982s elapsed, ~173s remaining
05:37:08 │ INFO     │   360/400 (90%) — 1041s elapsed, ~116s remaining
05:38:05 │ INFO     │   380/400 (95%) — 1098s elapsed, ~58s remaining
